Price,Bedrooms,Bathrooms,SqFt,City,State,Year_Built,Type,Garage,Lot_Area
982112,4,1,1561,Adelaide,QLD,2021,Townhouse,0,1357
571388,3,2,3735,Melbourne,VIC,1999,House,1,8397
866821,5,1,2032,Sydney,VIC,1976,Townhouse,0,3478
1230977,4,3,3861,Brisbane,SA,1978,House,0,7619
241787,4,2,3150,Perth,SA,1992,Apartment,0,8324
631871,4,2,1923,Brisbane,SA,2002,House,1,6638
550777,4,1,829,Adelaide,QLD,2022,Townhouse,0,2752
1509971,1,1,2447,Brisbane,QLD,1967,Apartment,1,2792
935088,4,2,3652,Melbourne,QLD,1985,House,0,1645
999053,1,1,3114,Sydney,NSW,1962,House,0,4195
679189,4,3,2891,Sydney,WA,1999,Apartment,0,2827
977320,1,1,2218,Adelaide,QLD,1972,Apartment,0,8425
901416,4,3,1771,Brisbane,QLD,1995,Apartment,1,8587
911184,4,3,3855,Sydney,WA,1955,House,0,5090
945381,3,2,1672,Brisbane,QLD,1989,House,0,9937
1453282,5,3,1842,Melbourne,NSW,1993,Townhouse,0,1298
646827,5,2,2211,Melbourne,NSW,1988,House,1,5629
1476267,4,2,810,Melbourne,NSW,2013,Townhouse,1,7482
1813301,3,2,1359,Adelaide,QLD,1991,House,0,9376
1731191,5,1,1233,Adelaide,NSW,1964,Townhouse,0,7669
333700,1,1,1465,Brisbane,SA,1966,House,0,7456
1726874,3,3,2231,Brisbane,QLD,1995,House,0,8726
199634,3,3,3578,Brisbane,QLD,1991,House,0,9936
1765342,3,2,1662,Adelaide,VIC,2014,Townhouse,0,3538
983015,5,1,2602,Perth,NSW,1989,House,0,8683
1358342,4,1,2890,Melbourne,VIC,1995,Apartment,1,3883
609841,1,2,964,Sydney,NSW,2000,Townhouse,1,7047
942430,4,2,2724,Brisbane,NSW,1984,House,0,3692
671877,2,1,2189,Perth,WA,2016,Townhouse,1,5367
402195,5,1,2566,Perth,NSW,1970,House,0,3546
1617926,1,2,1389,Perth,VIC,2012,Townhouse,1,3267
1712788,4,2,2845,Melbourne,SA,2013,Apartment,0,1862
879808,4,3,2635,Melbourne,NSW,2019,Townhouse,1,5783
1874185,5,1,1440,Melbourne,SA,1982,House,0,1079
639268,4,3,3674,Melbourne,VIC,2015,House,0,9026
1183917,2,2,2619,Sydney,SA,1980,Apartment,0,3170
520139,4,3,1271,Brisbane,VIC,1975,Apartment,0,6751
1961716,4,2,1180,Brisbane,SA,1989,House,0,4335
1456872,1,3,3372,Adelaide,QLD,2021,Apartment,0,3877
877191,2,2,3953,Perth,QLD,1999,House,1,6334
1862030,1,3,3253,Brisbane,SA,1958,House,1,9929
1466299,4,3,2960,Adelaide,SA,1950,House,0,6565
1166930,1,2,1913,Adelaide,WA,1955,House,0,9989
677559,4,2,1638,Melbourne,SA,1978,House,0,5071
1770580,3,2,1662,Melbourne,QLD,1984,Townhouse,0,5127
663284,1,2,3751,Brisbane,SA,2014,Apartment,1,8459
705829,4,1,1019,Brisbane,NSW,1965,Apartment,0,1176
612299,2,3,2768,Sydney,VIC,1962,Apartment,1,5187
166385,1,2,1489,Melbourne,VIC,1967,Apartment,0,2235
917916,1,3,2342,Melbourne,VIC,2015,Apartment,0,7627
1140310,1,3,1925,Adelaide,NSW,2016,Townhouse,1,9692
1448522,4,3,2950,Adelaide,VIC,2018,House,1,9548
1217162,1,3,2174,Perth,QLD,2022,Townhouse,0,1767
834424,3,2,1674,Sydney,WA,1978,Townhouse,0,7874
1813465,3,1,3538,Melbourne,VIC,1971,Townhouse,0,2877
837969,1,2,817,Brisbane,NSW,1991,Townhouse,0,8828
270027,3,1,2346,Adelaide,VIC,2020,Apartment,1,9969
633761,2,3,3576,Brisbane,VIC,1996,Townhouse,1,5036
407434,2,1,2683,Adelaide,VIC,1955,Apartment,0,5806
715409,2,3,2236,Perth,SA,2010,Apartment,1,8730
1780590,5,2,1291,Perth,WA,1963,Townhouse,0,1156
1938851,3,1,1710,Brisbane,NSW,1978,House,0,5716
106515,3,2,3472,Sydney,WA,1987,House,0,7925
647784,2,2,2048,Perth,VIC,1985,Apartment,0,2466
722444,2,3,1352,Brisbane,VIC,2013,Townhouse,1,1302
1325225,1,1,2908,Perth,QLD,2000,Townhouse,0,6042
1473547,3,3,2875,Adelaide,NSW,2009,Townhouse,0,5554
1539822,3,2,1321,Adelaide,NSW,1950,Townhouse,1,6650
1631920,1,3,3267,Adelaide,SA,1971,House,1,5328
1794143,4,2,3612,Brisbane,NSW,2007,Apartment,0,5134
1358111,2,3,3578,Sydney,VIC,1960,Townhouse,1,3339
1637850,2,2,2567,Perth,QLD,2010,House,1,2963
1849535,1,1,944,Perth,SA,1994,Apartment,0,8121
1689550,4,1,2681,Brisbane,VIC,1997,Townhouse,1,9246
1962708,2,3,2597,Brisbane,WA,2003,Townhouse,1,1177
1403566,4,2,1392,Brisbane,WA,1984,Apartment,1,8408
275596,5,3,3388,Melbourne,QLD,1995,Townhouse,1,5820
1766096,1,1,3121,Sydney,NSW,1977,Apartment,1,6324
1936294,3,1,3069,Perth,NSW,2003,House,1,8482
1310179,4,1,2868,Perth,QLD,2011,Apartment,1,3326
860767,4,3,1368,Melbourne,QLD,1953,Apartment,1,9481
1551243,2,2,1972,Sydney,NSW,1960,Townhouse,1,4374
182039,5,1,1891,Adelaide,QLD,1995,Apartment,1,1458
712267,4,3,1342,Adelaide,QLD,1981,Townhouse,0,7094
523902,3,3,3602,Adelaide,QLD,1951,Apartment,1,4235
277140,4,1,1891,Melbourne,VIC,1955,Townhouse,0,5232
1030459,4,1,1767,Perth,QLD,1980,Townhouse,1,9668
1363638,2,3,2470,Adelaide,WA,1976,Apartment,1,8273
356372,3,1,1817,Melbourne,SA,1982,Apartment,1,1072
726215,5,2,2828,Adelaide,VIC,1994,Apartment,1,7523
420892,2,2,3068,Brisbane,WA,1962,House,0,9154
1851710,5,3,2922,Melbourne,WA,1985,Apartment,1,4783
998867,5,2,2271,Sydney,VIC,2020,Apartment,1,8793
1159775,3,2,2677,Brisbane,NSW,2004,Apartment,1,1448
632272,4,1,2139,Melbourne,SA,1954,Townhouse,1,2985
244715,2,1,1430,Adelaide,NSW,1962,House,0,2623
1218772,2,3,1118,Adelaide,SA,2010,Apartment,1,3074
792406,1,2,3405,Sydney,NSW,2015,Apartment,0,8211
1595992,4,2,2083,Sydney,NSW,2016,Apartment,1,5016
1943494,5,2,2033,Brisbane,VIC,1999,Apartment,0,7035
1257454,1,1,3946,Sydney,SA,1999,House,1,7804
1220844,3,1,1633,Adelaide,WA,1963,House,1,2766
1656027,5,3,2516,Sydney,NSW,1955,Apartment,0,9401
508496,4,3,3206,Adelaide,VIC,1952,Townhouse,1,2100
755087,4,1,2589,Perth,VIC,1959,Townhouse,1,9894
600580,3,1,1998,Perth,VIC,1990,Apartment,1,6878
719663,4,1,2798,Adelaide,QLD,1955,House,0,8627
1978166,2,2,3381,Brisbane,WA,1993,House,0,2850
1009383,3,3,2651,Brisbane,VIC,2002,House,0,4259
205615,2,1,1453,Brisbane,VIC,1979,House,1,3418
1232656,5,3,3402,Perth,QLD,1992,Townhouse,0,7133
714193,4,2,2901,Brisbane,QLD,1994,Apartment,1,6156
703391,4,1,1265,Perth,NSW,1960,Apartment,0,2556
1829026,5,1,1240,Perth,NSW,1995,House,1,9164
775733,2,1,1298,Melbourne,NSW,1976,Apartment,1,4680
521806,2,1,2646,Melbourne,QLD,1990,House,0,9736
599339,5,2,3449,Adelaide,NSW,2006,Townhouse,0,2648
845327,3,2,2569,Melbourne,NSW,1995,Townhouse,0,1882
720409,1,2,1304,Sydney,NSW,2002,Townhouse,1,6630
828250,2,1,3106,Adelaide,NSW,1968,Apartment,1,8382
1121178,1,2,1532,Brisbane,VIC,2017,Townhouse,0,9981
1538306,3,3,3909,Brisbane,NSW,2003,Townhouse,1,1042
1285569,3,1,2684,Adelaide,VIC,1959,Apartment,1,5656
655003,5,2,2986,Melbourne,QLD,1962,Apartment,1,5025
1456067,2,3,3819,Adelaide,SA,1986,House,0,4280
157154,2,3,2643,Adelaide,NSW,1981,House,1,3577
1853162,3,2,1435,Sydney,WA,1957,House,1,6288
399795,1,3,3496,Adelaide,QLD,2019,Apartment,0,1599
952387,1,2,3359,Melbourne,QLD,1996,House,0,6790
977580,1,2,1740,Adelaide,WA,1957,House,0,8302
812068,4,2,3107,Sydney,VIC,1951,Apartment,1,2268
1978401,2,1,1832,Melbourne,WA,2004,Apartment,0,6093
677286,1,2,1948,Melbourne,NSW,1969,House,1,5641
701765,4,2,2853,Sydney,WA,1957,Townhouse,1,1324
954233,1,3,3283,Brisbane,QLD,1957,Apartment,1,1038
159787,4,3,1033,Sydney,VIC,2008,Apartment,1,6267
1155345,1,3,1374,Sydney,WA,1965,Apartment,1,2544
257698,4,2,1675,Brisbane,QLD,1967,House,0,5100
1243874,4,1,1216,Sydney,WA,1965,Townhouse,1,3472
482291,5,2,2761,Adelaide,WA,2001,Townhouse,0,9133
260080,4,2,1912,Brisbane,WA,1994,House,1,9715
1023056,2,2,3938,Brisbane,WA,1990,House,0,1775
945913,1,1,889,Brisbane,SA,2019,House,0,6014
1380101,4,1,2664,Adelaide,VIC,1985,House,0,6686
136496,4,1,3079,Brisbane,WA,1959,Townhouse,0,5435
1700535,4,3,3095,Adelaide,WA,1951,House,0,5983
1246896,2,3,2718,Brisbane,SA,2012,Apartment,0,2380
1064677,4,1,2721,Perth,NSW,1951,Townhouse,0,5961
946029,4,2,2819,Sydney,VIC,2004,House,0,1594
1553757,2,3,1886,Sydney,QLD,2006,Townhouse,0,7501
244482,4,1,910,Perth,SA,1965,Townhouse,1,8736
1830398,1,2,1072,Sydney,NSW,2004,Townhouse,1,8145
456472,1,3,3246,Adelaide,WA,2000,Townhouse,0,3610
1747076,4,3,3024,Sydney,WA,1962,Apartment,0,7332
1376166,3,1,3934,Melbourne,SA,1993,Townhouse,0,4600
1150760,1,3,876,Perth,SA,2005,Townhouse,0,8536
1405561,2,3,2806,Perth,NSW,1970,Apartment,1,1703
1997428,1,2,836,Sydney,NSW,2014,Apartment,1,8150
1713337,1,2,1271,Sydney,VIC,1950,Apartment,1,3986
772357,3,1,2034,Melbourne,WA,1970,House,1,4380
1269074,5,2,3151,Brisbane,NSW,1954,Townhouse,1,6684
932261,2,2,926,Adelaide,SA,1992,Townhouse,1,1195
1822894,3,2,1046,Brisbane,NSW,1955,Townhouse,0,4276
591155,1,2,2452,Sydney,WA,1951,Townhouse,1,3999
1767651,1,2,3298,Brisbane,SA,1972,House,0,9901
1618489,2,3,1455,Sydney,WA,2006,House,0,9007
907257,3,3,1716,Sydney,NSW,1950,Apartment,0,3208
1687337,1,2,3583,Melbourne,VIC,1973,Townhouse,0,8234
1522221,5,1,1469,Adelaide,VIC,1952,House,0,5907
1689023,1,2,2516,Perth,SA,1955,Apartment,0,3941
1882534,3,1,1453,Adelaide,NSW,1973,Townhouse,0,3077
111325,3,1,3211,Sydney,WA,2016,Townhouse,0,2267
769322,5,2,3497,Adelaide,SA,2009,House,1,1650
1738543,5,1,2549,Adelaide,VIC,2021,Townhouse,0,7870
1400552,5,1,3872,Brisbane,WA,1981,Townhouse,1,7381
1453068,2,2,1137,Brisbane,QLD,1961,Townhouse,1,5047
495052,5,3,2040,Perth,VIC,1961,Townhouse,1,9952
1696634,1,1,3117,Brisbane,QLD,1963,Apartment,1,9471
1478180,3,3,2658,Sydney,VIC,1961,Townhouse,0,5227
1974922,4,1,2396,Adelaide,VIC,1958,Townhouse,0,6390
982496,2,1,1752,Melbourne,WA,2019,House,1,9803
1876453,2,3,1930,Perth,VIC,2007,House,0,4067
1933711,4,3,3565,Perth,QLD,1991,House,0,7065
